State,Year,Station,Men,Women,MenN,WomenN
JAL,2013,fall,25,28,6.943208167660001e-06,7.4665850320000006e-06
JAL,2013,spring,1,2,2.77728326706e-07,5.33327502286e-07
JAL,2013,summer,10,13,2.77728326706e-06,3.46662876486e-06
JAL,2013,winter,0,0,0.0,0.0
JAL,2014,fall,6,8,1.66636996024e-06,2.1333100091400003e-06
JAL,2014,spring,-75,1,-2.0829624503e-05,2.66663751143e-07
JAL,2014,summer,-5,-56,-1.38864163353e-06,-1.4933170064000001e-05
JAL,2014,winter,0,0,0.0,0.0
JAL,2015,fall,20,22,5.55456653413e-06,5.86660252515e-06
JAL,2015,spring,0,1,0.0,2.66663751143e-07
JAL,2015,summer,3,6,8.331849801189999e-07,1.59998250686e-06
JAL,2015,winter,-1,0,-2.77728326706e-07,0.0
JAL,2016,spring,0,0,0.0,0.0
JAL,2016,winter,0,0,0.0,0.0
MEX,2008,fall,0,-8,0.0,-1.0284262147899999e-06
MEX,2008,spring,-1,0,-1.35190197737e-07,0.0
MEX,2008,summer,-1,0,-1.35190197737e-07,0.0
MEX,2008,winter,0,0,0.0,0.0
MEX,2009,fall,0,0,0.0,0.0
MEX,2009,spring,0,0,0.0,0.0
MEX,2009,summer,0,0,0.0,0.0
MEX,2009,winter,0,0,0.0,0.0
MEX,2010,fall,0,0,0.0,0.0
MEX,2010,spring,0,0,0.0,0.0
MEX,2010,summer,-1,-1,-1.35190197737e-07,-1.28553276849e-07
MEX,2010,winter,0,0,0.0,0.0
MEX,2011,fall,0,0,0.0,0.0
MEX,2011,spring,0,0,0.0,0.0
MEX,2011,summer,0,0,0.0,0.0
MEX,2011,winter,0,0,0.0,0.0
MEX,2012,fall,-3,-5,-4.05570593212e-07,-6.42766384244e-07
MEX,2012,spring,0,0,0.0,0.0
MEX,2012,summer,0,0,0.0,0.0
MEX,2012,winter,0,0,0.0,0.0
MEX,2013,fall,0,0,0.0,0.0
MEX,2013,spring,0,0,0.0,0.0
MEX,2013,summer,0,0,0.0,0.0
MEX,2013,winter,0,0,0.0,0.0
MEX,2014,fall,0,0,0.0,0.0
MEX,2014,spring,-78,0,-1.05448354235e-05,0.0
MEX,2014,summer,0,0,0.0,0.0
MEX,2014,winter,0,0,0.0,0.0
MEX,2015,fall,0,0,0.0,0.0
MEX,2015,spring,0,0,0.0,0.0
MEX,2015,summer,0,0,0.0,0.0
MEX,2015,winter,0,0,0.0,0.0
MEX,2016,spring,0,0,0.0,0.0
MEX,2016,winter,0,0,0.0,0.0
MIC,2008,fall,-967,-949,-0.00046001420478199997,-0.000421978827246
MIC,2008,spring,0,0,0.0,0.0
MIC,2008,summer,4,7,1.90285089879e-06,3.11259408927e-06
MIC,2008,winter,0,0,0.0,0.0
MIC,2009,fall,-49,-228,-2.33099235102e-05,-0.000101381636051
MIC,2009,spring,3,8,1.42713817409e-06,3.55725038774e-06
